,bed_type,calendar_last_scraped,cancellation_policy,city,country,country_code,experiences_offered,has_availability,host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_response_time,instant_bookable,is_location_exact,jurisdiction_names,last_scraped,market,neighbourhood_group_cleansed,property_type,require_guest_phone_verification,require_guest_profile_picture,requires_license,room_type,smart_location,state,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,price,weekly_price,security_deposit,cleaning_fee,extra_people
1116,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,f,WASHINGTON,2016-01-04,Seattle,Cascade,House,f,f,f,Private room,"Seattle, WA",WA,10272763,20160104002432,21788061,2.0,2.0,47.63844165537417,-122.32512573831491,2,1.0,1.0,1.0,1,1,1125,30,60,90,365,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,2,2.078918834221248,68.0,375.0,254.48483177054607,5.0,10.0
1117,Airbed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,f,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,10077121,20160104002432,20868197,1.0,1.0,47.64081226538981,-122.32606249745176,3,1.0,1.0,1.0,2,1,1125,26,52,82,357,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,52.0,567.5573663624511,254.48483177054607,61.71090387374462,55.0
1118,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,7536219,20160104002432,39486339,1.0,1.0,47.64211472564626,-122.32722268245544,2,1.0,0.0,1.0,1,1,1125,25,55,84,84,8,88.0,9.0,8.0,9.0,10.0,10.0,9.0,1,1.53,91.0,567.5573663624511,200.0,50.0,0.0
1123,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,2693137,20160104002432,13782718,1.0,1.0,47.63611986392126,-122.3243359396101,2,1.0,1.0,1.0,1,1,1125,30,60,90,365,89,89.0,9.0,9.0,10.0,10.0,9.0,9.0,1,4.71,58.0,567.5573663624511,254.48483177054607,5.0,10.0
1127,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,7481498,20160104002432,27128259,1.0,1.0,47.636729954320835,-122.32379935852606,3,1.0,2.0,2.0,1,2,1125,30,60,89,89,11,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,2.01,125.0,800.0,254.48483177054607,50.0,15.0
1128,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,535300,20160104002432,2347819,1.0,1.0,47.64097355936412,-122.32857305312628,2,1.0,1.0,1.0,1,2,14,26,56,86,361,115,92.0,9.0,9.0,10.0,10.0,10.0,9.0,1,2.68,82.0,600.0,254.48483177054607,30.0,0.0
1129,Couch,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,68508,20160104002432,340192,2.0,2.0,47.63667440035846,-122.32315503853528,4,1.0,2.0,2.0,1,7,730,19,49,79,308,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,2,2.078918834221248,225.0,567.5573663624511,250.0,150.0,0.0
1130,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,8294379,20160104002432,21022292,1.0,1.0,47.6361811061378,-122.32663786024445,2,1.0,1.0,1.0,1,1,1125,17,47,76,76,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.07,55.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1132,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,4481979,20160104002432,23255076,1.0,1.0,47.6442552529616,-122.32617222874063,2,1.0,1.0,1.0,2,1,1125,26,52,82,321,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.44,134.0,980.0,500.0,79.0,0.0
1133,Airbed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,5353512,20160104002432,11027707,1.0,1.0,47.641665370960425,-122.32464542376532,2,1.0,1.0,1.0,1,1,1125,0,30,60,335,4,75.0,7.0,7.0,8.0,9.0,7.0,7.0,1,3.08,42.0,315.0,100.0,61.71090387374462,10.0
1134,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,t,f,Entire home/apt,"Seattle, WA",WA,244499,20160104002432,1282652,1.0,1.0,47.646879862052906,-122.32417356787066,2,1.0,1.0,1.0,2,2,1125,6,34,64,339,34,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.83,125.0,567.5573663624511,250.0,40.0,20.0
1135,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Cascade,House,f,f,f,Entire home/apt,"Seattle, WA",WA,3316219,20160104002432,225845,2.0,2.0,47.63845448973991,-122.32338184739912,6,1.0,2.0,2.0,4,1,1125,11,41,71,160,106,77.0,8.0,8.0,9.0,9.0,8.0,8.0,2,5.99,115.0,567.5573663624511,254.48483177054607,40.0,20.0
1136,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6613601,20160104002432,34609763,1.0,1.0,47.61907155891863,-122.34779881165328,3,1.0,1.0,1.0,1,1,9,0,0,0,144,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.32,125.0,567.5573663624511,254.48483177054607,20.0,0.0
1137,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,7833113,20160104002432,5203265,1.0,1.0,47.62386146833082,-122.34226309987451,2,1.0,1.0,1.0,1,2,14,0,0,0,119,16,96.0,9.0,10.0,10.0,10.0,10.0,10.0,1,3.64,55.0,360.0,254.48483177054607,10.0,0.0
1138,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,7439802,20160104002432,4335914,2.0,2.0,47.62086249765871,-122.33896607982014,6,2.0,2.0,3.0,1,3,10,4,11,17,240,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1.86,550.0,567.5573663624511,500.0,55.0,0.0
1139,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within an hour,t,f,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,10135378,20160104002432,52012565,1.0,1.0,47.63449323415144,-122.32584731780595,2,1.0,1.0,1.0,1,2,1125,3,6,13,13,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,90.0,567.5573663624511,254.48483177054607,40.0,0.0
1140,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,9330174,20160104002432,6601753,1.0,1.0,47.619205536420885,-122.33202959666092,3,1.0,1.0,1.0,1,2,10,8,14,14,14,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.8,100.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1141,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Loft,f,f,f,Entire home/apt,"Seattle, WA",WA,9597415,20160104002432,10809449,1.0,1.0,47.623988736159724,-122.3321661553665,2,1.0,1.0,1.0,1,1,1125,0,0,0,16,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,95.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1142,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8831088,20160104002432,33698546,1.0,1.0,47.62330201572779,-122.33196911303749,4,1.0,1.0,2.0,2,4,1125,0,0,0,59,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,110.0,650.0,300.0,15.0,0.0
1143,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,7401671,20160104002432,24976504,1.0,1.0,47.63443453877037,-122.32415734647051,2,1.0,0.0,1.0,1,2,1125,30,60,90,365,15,82.0,9.0,8.0,10.0,10.0,9.0,8.0,1,2.66,80.0,567.5573663624511,254.48483177054607,10.0,0.0
1144,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,a few days or more,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,5330475,20160104002432,13508145,1.0,1.0,47.62667517278397,-122.34290562125,4,2.0,1.0,1.0,1,30,1125,3,33,63,338,2,100.0,9.0,9.0,10.0,10.0,10.0,10.0,1,0.61,100.0,400.0,254.48483177054607,25.0,0.0
1145,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8067001,20160104002432,7448641,1.0,1.0,47.619706980603496,-122.3369971804083,2,1.0,0.0,1.0,1,7,90,0,0,0,105,1,100.0,6.0,10.0,10.0,10.0,10.0,10.0,1,0.45,90.0,750.0,254.48483177054607,61.71090387374462,0.0
1148,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,6852288,20160104002432,35905805,1.0,1.0,47.628666804500405,-122.32854562240351,2,1.0,1.0,1.0,1,2,30,30,60,89,89,14,85.0,9.0,8.0,10.0,9.0,10.0,9.0,1,2.37,59.0,567.5573663624511,200.0,40.0,0.0
1149,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,6913706,20160104002432,8534462,48.0,48.0,47.620135080232686,-122.33701934446955,4,1.0,1.0,1.0,2,2,1125,1,2,2,178,20,96.0,10.0,10.0,10.0,10.0,10.0,9.0,3,3.11,183.0,567.5573663624511,300.0,60.0,30.0
1152,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,9885225,20160104002432,8534462,48.0,48.0,47.61994408937855,-122.3385515188176,3,1.0,1.0,1.0,2,2,1125,4,34,64,126,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,3,2.078918834221248,183.0,567.5573663624511,300.0,60.0,30.0
1155,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,6990477,20160104002432,8534462,48.0,48.0,47.619718059246644,-122.3372046750729,3,1.0,1.0,1.0,2,2,1125,21,25,54,115,26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3,4.24,183.0,567.5573663624511,300.0,60.0,30.0
1156,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,117862,20160104002432,595263,1.0,1.0,47.62151024882332,-122.3287866741671,2,1.0,1.0,1.0,1,2,365,0,0,30,305,19,98.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0.34,115.0,800.0,500.0,50.0,0.0
1157,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,7777219,20160104002432,40912620,2.0,2.0,47.621756558783595,-122.32969625722895,2,1.0,1.0,1.0,1,1,1125,25,55,85,174,4,90.0,10.0,10.0,10.0,9.0,10.0,9.0,2,0.83,75.0,567.5573663624511,100.0,25.0,15.0
1159,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,7840228,20160104002432,8534462,48.0,48.0,47.62027939417354,-122.33921467299109,3,1.0,1.0,1.0,2,2,1125,5,33,63,121,6,100.0,10.0,10.0,10.0,10.0,10.0,9.0,3,1.27,183.0,567.5573663624511,300.0,60.0,30.0
1160,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,7438635,20160104002432,4335914,2.0,2.0,47.620967894051525,-122.33777435739029,2,1.0,1.0,1.0,1,1,1125,4,18,42,302,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,2.4,220.0,567.5573663624511,500.0,55.0,0.0
1161,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Cascade,Condominium,f,f,f,Entire home/apt,"Seattle, WA",WA,9389755,20160104002432,37376726,1.0,1.0,47.61930179752629,-122.34436131157774,3,1.0,1.0,1.0,1,1,1125,4,34,63,63,3,93.0,10.0,9.0,10.0,10.0,10.0,10.0,1,2.37,119.0,749.0,100.0,60.0,0.0
1162,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,f,WASHINGTON,2016-01-04,Seattle,Cascade,Apartment,f,f,f,Private room,"Seattle, WA",WA,9151865,20160104002432,40912620,2.0,2.0,47.62147034857804,-122.33107430090902,2,1.0,1.0,1.0,1,1,1125,30,60,66,66,1,40.0,4.0,10.0,10.0,10.0,10.0,4.0,2,1.0,75.0,567.5573663624511,100.0,25.0,10.0
1163,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,7204672,20160104002432,37723023,1.0,1.0,47.659470380438215,-122.40187337072383,6,2.5,3.0,3.0,1,1,1125,0,0,0,152,2,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0.43,200.0,567.5573663624511,200.0,75.0,0.0
1164,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,5579427,20160104002432,3497328,4.0,4.0,47.654211337520415,-122.40838880749409,7,2.0,3.0,3.0,6,2,1125,30,60,89,89,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,0.74,229.0,567.5573663624511,300.0,150.0,25.0
1165,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Townhouse,f,f,f,Entire home/apt,"Seattle, WA",WA,6734621,20160104002432,33515006,1.0,1.0,47.651031454141744,-122.38500383072392,10,3.5,3.0,5.0,6,1,180,30,60,90,352,29,94.0,10.0,10.0,10.0,10.0,9.0,10.0,1,4.24,333.0,567.5573663624511,360.0,130.0,30.0
1166,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Apartment,f,f,f,Private room,"Seattle, WA",WA,2263643,20160104002432,10043337,2.0,2.0,47.659121332258366,-122.40226539973395,1,1.0,1.0,1.0,1,2,1125,28,58,72,320,57,89.0,9.0,9.0,9.0,10.0,9.0,9.0,2,3.01,41.0,298.0,254.48483177054607,10.0,35.0
1167,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Private room,"Seattle, WA",WA,4608208,20160104002432,23878721,1.0,1.0,47.664035311582396,-122.40375013597804,2,1.0,1.0,1.0,1,1,1125,29,59,89,364,39,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.03,70.0,500.0,254.48483177054607,61.71090387374462,0.0
1169,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,a few days or more,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Apartment,f,f,f,Private room,"Seattle, WA",WA,3528627,20160104002432,17764753,1.0,1.0,47.6598299803279,-122.40273837679248,2,1.0,1.0,2.0,1,1,1125,30,60,90,365,20,86.0,9.0,8.0,9.0,9.0,9.0,8.0,1,1.11,70.0,430.0,254.48483177054607,61.71090387374462,0.0
1170,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,8048333,20160104002432,4726215,3.0,3.0,47.65398031032751,-122.3955474864585,4,1.0,1.0,2.0,4,2,29,2,32,62,337,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,97.0,567.5573663624511,500.0,120.0,10.0
1171,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,8050642,20160104002432,658155,13.0,13.0,47.65061812182692,-122.4031197746643,12,3.5,5.0,7.0,1,3,1125,25,55,85,324,3,100.0,10.0,9.0,9.0,10.0,9.0,10.0,1,0.75,350.0,567.5573663624511,500.0,250.0,0.0
1172,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,7329805,20160104002432,38387642,1.0,1.0,47.648992048848115,-122.39711199862295,6,1.0,2.0,4.0,6,2,180,18,48,78,279,7,94.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1.54,200.0,567.5573663624511,250.0,100.0,0.0
1173,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Townhouse,f,f,f,Entire home/apt,"Seattle, WA",WA,6848455,20160104002432,12648641,1.0,1.0,47.649500458174714,-122.38396354226109,5,2.5,3.0,3.0,1,2,1125,28,58,88,363,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.33,225.0,567.5573663624511,254.48483177054607,100.0,0.0
1175,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Private room,"Seattle, WA",WA,5164581,20160104002432,11266036,4.0,4.0,47.64987478997546,-122.38356117727291,2,1.0,1.0,1.0,1,1,1125,10,28,28,43,58,94.0,9.0,9.0,10.0,10.0,9.0,10.0,4,5.26,40.0,255.0,100.0,8.0,0.0
1176,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Townhouse,f,f,f,Entire home/apt,"Seattle, WA",WA,2208757,20160104002432,11266036,4.0,4.0,47.64950029478845,-122.38276320516658,8,2.5,3.0,3.0,1,1,1125,0,9,10,10,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,4,2.078918834221248,150.0,567.5573663624511,100.0,50.0,0.0
1177,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,t,f,f,Private room,"Seattle, WA",WA,226536,20160104002432,209571,1.0,1.0,47.66119733659824,-122.40144552294248,2,1.0,1.0,1.0,1,1,365,0,0,2,277,25,91.0,8.0,9.0,10.0,10.0,9.0,9.0,1,0.5,46.0,320.0,95.0,20.0,15.0
1178,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,t,f,f,Private room,"Seattle, WA",WA,176678,20160104002432,844971,1.0,1.0,47.65221578947864,-122.38548096041151,2,1.0,1.0,1.0,1,2,21,30,60,90,365,57,97.0,9.0,10.0,10.0,10.0,9.0,10.0,1,1.25,64.0,495.0,254.48483177054607,61.71090387374462,15.0
1181,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within an hour,t,f,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,4824699,20160104002432,4299635,1.0,1.0,47.65440286717075,-122.39359087945527,4,1.0,0.0,2.0,2,2,1125,30,60,90,365,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,147.0,737.0,200.0,25.0,9.0
1182,Couch,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Bed & Breakfast,f,f,f,Shared room,"Seattle, WA",WA,3876097,20160104002432,10043337,2.0,2.0,47.658426264106815,-122.40229815060222,1,1.0,1.0,1.0,1,2,1125,29,59,82,357,16,97.0,9.0,9.0,10.0,10.0,10.0,9.0,2,0.95,30.0,238.0,254.48483177054607,10.0,0.0
1183,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,1260259,20160104002432,3009864,1.0,1.0,47.66056382947186,-122.40186399570531,3,1.0,1.0,1.0,1,1,1125,30,60,90,365,64,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.08,150.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
1186,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Condominium,f,f,f,Entire home/apt,"Seattle, WA",WA,8173487,20160104002432,43137237,1.0,1.0,47.653783450442425,-122.3881302270543,5,2.0,3.0,2.0,4,2,1125,30,60,90,365,2,80.0,10.0,10.0,10.0,9.0,10.0,8.0,1,0.5,280.0,567.5573663624511,300.0,100.0,50.0
1187,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Private room,"Seattle, WA",WA,685600,20160104002432,3497328,4.0,4.0,47.65513058500851,-122.40781766552021,2,1.0,1.0,1.0,1,2,1125,30,60,90,365,8,100.0,10.0,9.0,10.0,10.0,10.0,10.0,4,0.47,75.0,500.0,100.0,50.0,10.0
1190,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Entire home/apt,"Seattle, WA",WA,6959336,20160104002432,3497328,4.0,4.0,47.65438187355757,-122.40962831268268,5,1.0,2.0,3.0,4,2,1125,30,60,89,89,3,73.0,7.0,7.0,9.0,9.0,7.0,7.0,4,0.49,129.0,800.0,200.0,100.0,25.0
1191,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,f,f,f,Private room,"Seattle, WA",WA,5195064,20160104002432,11266036,4.0,4.0,47.650810804005935,-122.38469440627337,2,1.0,1.0,1.0,1,1,1125,3,20,48,63,64,93.0,10.0,9.0,10.0,10.0,9.0,9.0,4,5.98,50.0,305.0,100.0,8.0,0.0
1192,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Townhouse,f,f,f,Private room,"Seattle, WA",WA,9961538,20160104002432,11266036,4.0,4.0,47.64944286497742,-122.38331243566094,4,1.0,1.0,1.0,2,1,1125,6,29,51,51,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,4,2.078918834221248,50.0,567.5573663624511,100.0,15.0,5.0
1194,Airbed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,House,t,t,f,Private room,"Seattle, WA",WA,492287,20160104002432,2433229,1.0,1.0,47.65312176307169,-122.40981689210182,2,1.0,1.0,1.0,2,1,3,30,60,90,365,71,93.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1.62,88.0,567.5573663624511,100.0,20.0,0.0
1195,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Magnolia,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8029177,20160104002432,42393640,1.0,1.0,47.635436187004274,-122.40247230285259,2,1.0,1.0,1.0,1,2,1125,29,59,89,351,4,85.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.94,100.0,700.0,254.48483177054607,30.0,0.0
