,bed_type,calendar_last_scraped,cancellation_policy,city,country,country_code,experiences_offered,has_availability,host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_response_time,instant_bookable,is_location_exact,jurisdiction_names,last_scraped,market,neighbourhood_group_cleansed,property_type,require_guest_phone_verification,require_guest_profile_picture,requires_license,room_type,smart_location,state,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,price,weekly_price,security_deposit,cleaning_fee,extra_people
16,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Private room,"Seattle, WA",WA,3245876,20160104002432,9465817,1.0,1.0,47.626200373817085,-122.36660192617585,2,1.0,1.0,1.0,1,1,10,29,59,89,364,84,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,4.55,66.0,567.5573663624511,100.0,35.0,25.0
17,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Private room,"Seattle, WA",WA,4933447,20160104002432,25417834,1.0,1.0,47.64064587578452,-122.37240588895551,2,1.0,1.0,1.0,1,2,14,29,52,82,171,45,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,4.58,99.0,567.5573663624511,100.0,15.0,0.0
20,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,f,WASHINGTON,2016-01-04,Seattle,Queen Anne,Condominium,f,f,f,Entire home/apt,"Seattle, WA",WA,9218403,20160104002432,14100483,1.0,1.0,47.62794033813239,-122.36495872243864,1,1.0,1.0,1.0,1,1,1125,29,55,85,360,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,110.0,750.0,254.48483177054607,61.71090387374462,0.0
21,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Private room,"Seattle, WA",WA,4125779,20160104002432,21401856,1.0,1.0,47.63637426223885,-122.36103343324051,3,1.5,1.0,2.0,1,1,1125,30,60,90,365,11,84.0,9.0,9.0,9.0,9.0,10.0,8.0,1,0.71,99.0,568.0,254.48483177054607,15.0,10.0
22,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,8942678,20160104002432,46675077,1.0,1.0,47.63563222417987,-122.35888090262146,8,2.0,4.0,4.0,1,4,1125,0,0,0,53,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.86,450.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
25,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,3544550,20160104002432,16708587,2.0,2.0,47.63139734518299,-122.36776687067899,8,2.5,3.0,5.0,6,4,1125,0,3,33,293,8,100.0,10.0,10.0,9.0,10.0,10.0,10.0,2,1.3,450.0,567.5573663624511,500.0,200.0,50.0
26,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,9025039,20160104002432,68155,1.0,1.0,47.63875224201261,-122.36797266885502,5,1.0,2.0,3.0,1,1,1125,0,0,0,49,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,150.0,567.5573663624511,250.0,35.0,0.0
27,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Camper/RV,t,t,f,Private room,"Seattle, WA",WA,3200646,20160104002432,4016632,5.0,5.0,47.639266020260955,-122.37472581108143,2,1.0,1.0,1.0,1,2,7,22,49,49,107,80,95.0,10.0,10.0,10.0,10.0,9.0,9.0,5,4.38,45.0,360.0,150.0,25.0,0.0
28,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8859380,20160104002432,3792761,5.0,5.0,47.62990711611138,-122.36894813824877,6,2.0,3.0,3.0,1,2,1125,24,54,84,356,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.47,300.0,567.5573663624511,500.0,125.0,0.0
29,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,4520099,20160104002432,6184895,1.0,1.0,47.63981586823574,-122.37433846349177,3,1.0,1.0,2.0,3,2,1125,0,1,30,305,4,85.0,8.0,9.0,7.0,10.0,9.0,9.0,1,0.33,80.0,500.0,254.48483177054607,65.0,50.0
